module_name,balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,load,load,load,load,load,load,load,load,load,renewable2.csv.gz,renewable2.csv.gz,renewable2.csv.gz,renewable2.csv.gz,renewable22.csv.gz,renewable22.csv.gz,renewable22.csv.gz,renewable22.csv.gz,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance,net_load,action,converted_action,converted_action
module_number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
field,loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_current,load_met,reward,load_current,load_met,reward,load_current,load_met,reward,curtailment,renewable_current,renewable_used,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid,,,battery_0,grid_0
776,129025.56939319725,0.0,-1290255.6939319726,0.0,10.0,0.0,-0.0,0.01,0.291360847,29.136084699999998,0.0,0.0,100.0,1.0,0.11,-11.0,-71517.17496211146,71517.17496211146,0.0,-31345.242874087304,31345.242874087304,0.0,-35561.092546077605,35561.092546077605,0.0,0.0,52.56302032913843,52.56302032913843,0.0,0.0,9245.37796875,9245.37796875,0.0,-1290266.6939319726,-1290266.6939319726,138423.51038227638,138423.51038227638,138323.51038227638,0.0,100.0,0.0,0.0,138423.51038227638,129125.56939319723,1,0.0,100.0
777,110819.65154406222,0.0,-1108196.515440622,0.0,10.0,0.0,-0.0,0.01,0.29810255,29.810255,0.0,0.0,100.0,1.0,0.11,-11.0,-63677.48276928422,63677.48276928422,0.0,-30231.5905020063,30231.5905020063,0.0,-35565.25621747162,35565.25621747162,0.0,0.0,180.2160696999032,180.2160696999032,0.0,0.0,18374.461875,18374.461875,0.0,-1108207.515440622,-1108207.515440622,129474.32948876212,129474.32948876213,129374.32948876212,0.0,100.0,0.0,0.0,129474.32948876213,110919.65154406223,1,0.0,100.0
778,89120.88577000245,0.0,-891208.8577000245,0.0,10.0,0.0,-0.0,0.01,0.295000625,29.500062500000002,0.0,0.0,100.0,1.0,0.11,-11.0,-50532.19839613211,50532.19839613211,0.0,-28760.68452033092,28760.68452033092,0.0,-36366.272788800816,36366.272788800816,0.0,0.0,155.81181026137463,155.81181026137463,0.0,0.0,26282.458125,26282.458125,0.0,-891219.8577000245,-891219.8577000245,115659.15570526382,115659.15570526384,115559.15570526382,0.0,100.0,0.0,0.0,115659.15570526384,89220.88577000247,1,0.0,100.0
779,83995.74869618799,0.0,-839957.4869618799,0.0,10.0,0.0,-0.0,0.01,0.29084058,29.084058000000002,0.0,0.0,100.0,1.0,0.11,-11.0,-50061.46816653664,50061.46816653664,0.0,-28776.727062409944,28776.727062409944,0.0,-36589.60802239023,36589.60802239023,0.0,0.0,223.3928363988384,223.3928363988384,0.0,0.0,31108.66171875,31108.66171875,0.0,-839968.4869618799,-839968.4869618799,115427.80325133682,115427.80325133682,115327.80325133682,0.0,100.0,0.0,0.0,115427.80325133682,84095.74869618798,1,0.0,100.0
780,83799.90202476611,0.0,-837999.020247661,0.0,10.0,0.0,-0.0,0.01,0.285709021,28.5709021,0.0,0.0,100.0,1.0,0.11,-11.0,-51349.98708004918,51349.98708004918,0.0,-27307.562932053686,27307.562932053686,0.0,-36483.40764885639,36483.40764885639,0.0,0.0,190.54094869312684,190.54094869312684,0.0,0.0,31050.514687500003,31050.514687500003,0.0,-838010.020247661,-838010.020247661,115140.95766095925,115140.95766095925,115040.95766095925,0.0,100.0,0.0,0.0,115140.95766095925,83899.90202476611,1,0.0,100.0
781,83284.030901755,0.0,-832840.30901755,0.0,10.0,0.0,-0.0,0.01,0.276512286,27.6512286,0.0,0.0,100.0,1.0,0.11,-11.0,-47428.70970106888,47428.70970106888,0.0,-28798.010526881262,28798.010526881262,0.0,-35689.86010068653,35689.86010068653,0.0,0.0,214.9452081316554,214.9452081316554,0.0,0.0,28317.60421875,28317.60421875,0.0,-832851.30901755,-832851.30901755,111916.58032863666,111916.58032863666,111816.58032863666,0.0,100.0,0.0,0.0,111916.58032863666,83384.030901755,1,0.0,100.0
782,82994.95178290886,0.0,-829949.5178290886,0.0,10.0,0.0,-0.0,0.01,0.282147172,28.2147172,0.0,0.0,100.0,1.0,0.08,-8.0,-42490.09040906412,42490.09040906412,0.0,-28763.38762448857,28763.38762448857,0.0,-35725.96743643264,35725.96743643264,0.0,0.0,160.5049370764763,160.5049370764763,0.0,0.0,23723.98875,23723.98875,0.0,-829957.5178290886,-829957.5178290886,106979.44546998534,106979.44546998534,106879.44546998534,0.0,100.0,0.0,0.0,106979.44546998534,83094.95178290886,1,0.0,100.0
783,89523.08033961931,0.0,-895230.8033961931,0.0,10.0,0.0,-0.0,0.01,0.292384555,29.2384555,0.0,0.0,100.0,1.0,0.08,-8.0,-40275.02637524576,40275.02637524576,0.0,-28715.70298884287,28715.70298884287,0.0,-35271.418952599895,35271.418952599895,0.0,0.0,102.31016456921589,102.31016456921589,0.0,0.0,14536.757812500002,14536.757812500002,0.0,-895238.8033961931,-895238.8033961931,104262.14831668853,104262.14831668853,104162.14831668853,0.0,100.0,0.0,0.0,104262.14831668853,89623.08033961931,1,0.0,100.0
784,106386.55883629333,0.0,-1063865.5883629334,0.0,10.0,0.0,-0.0,0.01,0.267102446,26.7102446,0.0,0.0,100.0,1.0,0.08,-8.0,-45583.02477410483,45583.02477410483,0.0,-30411.71597953581,30411.71597953581,0.0,-35028.27288677297,35028.27288677297,0.0,0.0,59.13339787028074,59.13339787028074,0.0,0.0,4477.32140625,4477.32140625,0.0,-1063873.5883629334,-1063873.5883629334,111023.01364041361,111023.01364041361,110923.01364041361,0.0,100.0,0.0,0.0,111023.01364041361,106486.55883629333,1,0.0,100.0
785,108426.65576117607,0.0,-1084266.5576117607,0.0,10.0,0.0,-0.0,0.01,0.259986716,25.9986716,0.0,0.0,100.0,1.0,0.11,-11.0,-54162.68707275301,54162.68707275301,0.0,-28324.882982997548,28324.882982997548,0.0,-26039.085705425507,26039.085705425507,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1084277.5576117607,-1084277.5576117607,108526.65576117607,108526.65576117607,108426.65576117607,0.0,100.0,0.0,0.0,108526.65576117607,108526.65576117607,1,0.0,100.0
786,119677.51754991268,0.0,-1196775.1754991268,0.0,10.0,0.0,-0.0,0.01,0.23433708,23.433708,0.0,0.0,100.0,1.0,0.11,-11.0,-69739.48318911,69739.48318911,0.0,-22389.242473980947,22389.242473980947,0.0,-27648.79188682172,27648.79188682172,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1196786.1754991268,-1196786.1754991268,119777.51754991268,119777.51754991268,119677.51754991268,0.0,100.0,0.0,0.0,119777.51754991268,119777.51754991268,1,0.0,100.0
787,122181.41531745723,0.0,-1221814.1531745722,0.0,10.0,0.0,-0.0,0.01,0.211254685,21.1254685,0.0,0.0,100.0,1.0,0.11,-11.0,-72876.38391512806,72876.38391512806,0.0,-21665.185994173666,21665.185994173666,0.0,-27739.84540815551,27739.84540815551,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1221825.1531745722,-1221825.1531745722,122281.41531745723,122281.41531745723,122181.41531745723,0.0,100.0,0.0,0.0,122281.41531745723,122281.41531745723,1,0.0,100.0
788,123893.39922532463,0.0,-1238933.9922532463,0.0,10.0,0.0,-0.0,0.01,0.205419204,20.5419204,0.0,0.0,100.0,1.0,0.11,-11.0,-79041.63351586215,79041.63351586215,0.0,-17215.481527956614,17215.481527956614,0.0,-27736.284181505867,27736.284181505867,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1238944.9922532463,-1238944.9922532463,123993.39922532463,123993.39922532463,123893.39922532463,0.0,100.0,0.0,0.0,123993.39922532463,123993.39922532463,1,0.0,100.0
789,104421.19636737701,0.0,-1044211.9636737701,0.0,10.0,0.0,-0.0,0.01,0.201541307,20.1541307,0.0,0.0,100.0,1.0,0.11,-11.0,-76162.25526651654,76162.25526651654,0.0,-16492.96688034615,16492.96688034615,0.0,-11865.974220514316,11865.974220514316,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1044222.9636737701,-1044222.9636737701,104521.19636737701,104521.19636737701,104421.19636737701,0.0,100.0,0.0,0.0,104521.19636737701,104521.19636737701,1,0.0,100.0
790,82909.97854302808,0.0,-829099.7854302807,0.0,10.0,0.0,-0.0,0.01,0.214015041,21.4015041,0.0,0.0,100.0,1.0,0.11,-11.0,-60756.134946346014,60756.134946346014,0.0,-10411.227168934123,10411.227168934123,0.0,-11842.616427747944,11842.616427747944,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-829110.7854302807,-829110.7854302807,83009.97854302808,83009.97854302808,82909.97854302808,0.0,100.0,0.0,0.0,83009.97854302808,83009.97854302808,1,0.0,100.0
791,64250.05777338611,0.0,-642500.577733861,0.0,10.0,0.0,-0.0,0.01,0.245777507,24.5777507,0.0,0.0,100.0,1.0,0.11,-11.0,-43396.80960637602,43396.80960637602,0.0,-8940.102321911429,8940.102321911429,0.0,-12013.14584509866,12013.14584509866,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-642511.577733861,-642511.577733861,64350.05777338611,64350.05777338611,64250.05777338611,0.0,100.0,0.0,0.0,64350.05777338611,64350.05777338611,1,0.0,100.0
792,46510.130654526176,0.0,-465101.30654526176,0.0,10.0,0.0,-0.0,0.01,0.25552357,25.552356999999997,0.0,0.0,100.0,1.0,0.08,-8.0,-26128.02580454925,26128.02580454925,0.0,-8633.445611244611,8633.445611244611,0.0,-11848.659238732322,11848.659238732322,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-465109.30654526176,-465109.30654526176,46610.130654526176,46610.130654526176,46510.130654526176,0.0,100.0,0.0,0.0,46610.130654526176,46610.130654526176,1,0.0,100.0
793,45658.42644273958,0.0,-456584.2644273958,0.0,10.0,0.0,-0.0,0.01,0.256215554,25.621555400000002,0.0,0.0,100.0,1.0,0.08,-8.0,-25288.17457333549,25288.17457333549,0.0,-8622.043126580742,8622.043126580742,0.0,-11848.20874282335,11848.20874282335,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-456592.2644273958,-456592.2644273958,45758.42644273958,45758.42644273958,45658.42644273958,0.0,100.0,0.0,0.0,45758.42644273958,45758.42644273958,1,0.0,100.0
794,44460.58480767271,0.0,-444605.8480767271,0.0,10.0,0.0,-0.0,0.01,0.257687693,25.7687693,0.0,0.0,100.0,1.0,0.08,-8.0,-24080.267564119644,24080.267564119644,0.0,-8633.84135216848,8633.84135216848,0.0,-11846.475891384584,11846.475891384584,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-444613.8480767271,-444613.8480767271,44560.58480767271,44560.58480767271,44460.58480767271,0.0,100.0,0.0,0.0,44560.58480767271,44560.58480767271,1,0.0,100.0
795,45608.66190471039,0.0,-456086.6190471039,0.0,10.0,0.0,-0.0,0.01,0.26089678,26.089678,0.0,0.0,100.0,1.0,0.08,-8.0,-24376.506789798263,24376.506789798263,0.0,-8622.29141158858,8622.29141158858,0.0,-12709.863703323545,12709.863703323545,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-456094.6190471039,-456094.6190471039,45708.66190471039,45708.66190471039,45608.66190471039,0.0,100.0,0.0,0.0,45708.66190471039,45708.66190471039,1,0.0,100.0
796,48699.700721343754,0.0,-486997.0072134375,0.0,10.0,0.0,-0.0,0.01,0.250460133,25.0460133,0.0,0.0,100.0,1.0,0.08,-8.0,-26363.504624570345,26363.504624570345,0.0,-8998.489723965951,8998.489723965951,0.0,-13437.706372807455,13437.706372807455,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-487005.0072134375,-487005.0072134375,48799.700721343754,48799.700721343754,48699.700721343754,0.0,100.0,0.0,0.0,48799.700721343754,48799.700721343754,1,0.0,100.0
797,57148.55844725465,0.0,-571485.5844725465,0.0,10.0,0.0,-0.0,0.01,0.242148761,24.214876099999998,0.0,0.0,100.0,1.0,0.11,-11.0,-33711.51553716895,33711.51553716895,0.0,-10457.975486334051,10457.975486334051,0.0,-13079.067423751654,13079.067423751654,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-571496.5844725465,-571496.5844725465,57248.55844725465,57248.55844725465,57148.55844725465,0.0,100.0,0.0,0.0,57248.55844725465,57248.55844725465,1,0.0,100.0
798,91845.73261188659,0.0,-918457.3261188659,0.0,10.0,0.0,-0.0,0.01,0.243325737,24.332573699999998,0.0,0.0,100.0,1.0,0.11,-11.0,-65144.63367275696,65144.63367275696,0.0,-12756.458747840305,12756.458747840305,0.0,-14044.64019128932,14044.64019128932,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-918468.3261188659,-918468.3261188659,91945.73261188659,91945.73261188659,91845.73261188659,0.0,100.0,0.0,0.0,91945.73261188659,91945.73261188659,1,0.0,100.0
799,104872.92842434206,0.0,-1048729.2842434205,0.0,10.0,0.0,-0.0,0.01,0.247931833,24.7931833,0.0,0.0,100.0,1.0,0.11,-11.0,-66017.17806657395,66017.17806657395,0.0,-14952.449770959389,14952.449770959389,0.0,-26212.887774308725,26212.887774308725,0.0,0.0,0.0,0.0,0.0,0.0,2209.5871875000003,2209.5871875000003,0.0,-1048740.2842434205,-1048740.2842434205,107182.51561184206,107182.51561184206,107082.51561184206,0.0,100.0,0.0,0.0,107182.51561184206,104972.92842434206,1,0.0,100.0
800,113928.2807732973,0.0,-1139282.807732973,0.0,10.0,0.0,-0.0,0.01,0.253705421,25.370542099999998,0.0,0.0,100.0,1.0,0.11,-11.0,-58266.89453527182,58266.89453527182,0.0,-31274.10406672852,31274.10406672852,0.0,-35563.42461094483,35563.42461094483,0.0,0.0,86.35353339787028,86.35353339787028,0.0,0.0,10989.788906250002,10989.788906250002,0.0,-1139293.807732973,-1139293.807732973,125104.42321294517,125104.42321294517,125004.42321294517,0.0,100.0,0.0,0.0,125104.42321294517,114028.2807732973,1,0.0,100.0
801,102612.75302282955,0.0,-1026127.5302282955,0.0,10.0,0.0,-0.0,0.01,0.260191034,26.0191034,0.0,0.0,100.0,1.0,0.11,-11.0,-58015.696490072485,58015.696490072485,0.0,-30171.31464800861,30171.31464800861,0.0,-35541.31990795151,35541.31990795151,0.0,0.0,140.79380445304938,140.79380445304938,0.0,0.0,20874.784218750003,20874.784218750003,0.0,-1026138.5302282955,-1026138.5302282955,123728.3310460326,123728.3310460326,123628.3310460326,0.0,100.0,0.0,0.0,123728.3310460326,102712.75302282955,1,0.0,100.0
802,83965.09137406277,0.0,-839650.9137406277,0.0,10.0,0.0,-0.0,0.01,0.26138715,26.138715,0.0,0.0,100.0,1.0,0.11,-11.0,-48030.02283147075,48030.02283147075,0.0,-28703.451157506664,28703.451157506664,0.0,-36306.8637945118,36306.8637945118,0.0,0.0,250.6129719264279,250.6129719264279,0.0,0.0,28724.6334375,28724.6334375,0.0,-839661.9137406277,-839661.9137406277,113040.3377834892,113040.3377834892,112940.3377834892,0.0,100.0,0.0,0.0,113040.3377834892,84065.09137406277,1,0.0,100.0
803,78046.71748551927,0.0,-780467.1748551927,0.0,10.0,0.0,-0.0,0.01,0.257419863,25.741986300000004,0.0,0.0,100.0,1.0,0.11,-11.0,-45748.028317771495,45748.028317771495,0.0,-28695.867039020144,28695.867039020144,0.0,-36524.26797017852,36524.26797017852,0.0,0.0,317.25537270087125,317.25537270087125,0.0,0.0,32504.190468750003,32504.190468750003,0.0,-780478.1748551927,-780478.1748551927,110968.16332697016,110968.16332697016,110868.16332697016,0.0,100.0,0.0,0.0,110968.16332697016,78146.71748551927,1,0.0,100.0
804,75281.50570641765,0.0,-752815.0570641765,0.0,10.0,0.0,-0.0,0.01,0.251179873,25.1179873,0.0,0.0,100.0,1.0,0.11,-11.0,-44946.194179058846,44946.194179058846,0.0,-27208.62695605909,27208.62695605909,0.0,-36571.4536940006,36571.4536940006,0.0,0.0,317.25537270087125,317.25537270087125,0.0,0.0,33027.513750000006,33027.513750000006,0.0,-752826.0570641765,-752826.0570641765,108726.27482911853,108726.27482911854,108626.27482911853,0.0,100.0,0.0,0.0,108726.27482911854,75381.50570641767,1,0.0,100.0
805,79714.27897154643,0.0,-797142.7897154643,0.0,10.0,0.0,-0.0,0.01,0.241766598,24.1766598,0.0,0.0,100.0,1.0,0.11,-11.0,-42343.75012036237,42343.75012036237,0.0,-28690.73800789348,28690.73800789348,0.0,-35990.072039745086,35990.072039745086,0.0,0.0,346.35275895450144,346.35275895450144,0.0,0.0,26863.9284375,26863.9284375,0.0,-797153.7897154643,-797153.7897154643,107024.56016800093,107024.56016800093,106924.56016800093,0.0,100.0,0.0,0.0,107024.56016800093,79814.27897154643,1,0.0,100.0
806,84073.10502523916,0.0,-840731.0502523916,0.0,10.0,0.0,-0.0,0.01,0.239116458,23.9116458,0.0,0.0,100.0,1.0,0.08,-8.0,-40804.334287771686,40804.334287771686,0.0,-28688.71996282249,28688.71996282249,0.0,-36068.0243606808,36068.0243606808,0.0,0.0,222.454211035818,222.454211035818,0.0,0.0,21165.519375000003,21165.519375000003,0.0,-840739.0502523916,-840739.0502523916,105561.07861127498,105561.07861127498,105461.07861127498,0.0,100.0,0.0,0.0,105561.07861127498,84173.10502523916,1,0.0,100.0
807,96494.62949932602,0.0,-964946.2949932602,0.0,10.0,0.0,-0.0,0.01,0.243092872,24.3092872,0.0,0.0,100.0,1.0,0.08,-8.0,-38881.37282980472,38881.37282980472,0.0,-28689.09644924608,28689.09644924608,0.0,-35400.76574892358,35400.76574892358,0.0,0.0,154.8731848983543,154.8731848983543,0.0,0.0,6221.732343750001,6221.732343750001,0.0,-964954.2949932602,-964954.2949932602,102971.23502797438,102971.23502797438,102871.23502797438,0.0,100.0,0.0,0.0,102971.23502797438,96594.62949932602,1,0.0,100.0
808,106445.2761629007,0.0,-1064452.761629007,0.0,10.0,0.0,-0.0,0.01,0.248733513,24.8733513,0.0,0.0,100.0,1.0,0.08,-8.0,-43823.88630488391,43823.88630488391,0.0,-30400.75560633044,30400.75560633044,0.0,-35043.26758270039,35043.26758270039,0.0,0.0,47.86989351403679,47.86989351403679,0.0,0.0,2674.7634375,2674.7634375,0.0,-1064460.761629007,-1064460.761629007,109267.90949391473,109267.90949391475,109167.90949391473,0.0,100.0,0.0,0.0,109267.90949391475,106545.27616290071,1,0.0,100.0
809,108264.13185721822,0.0,-1082641.3185721822,0.0,10.0,0.0,-0.0,0.01,0.233574228,23.3574228,0.0,0.0,100.0,1.0,0.11,-11.0,-54020.54098911776,54020.54098911776,0.0,-28311.02352456326,28311.02352456326,0.0,-26032.56734353721,26032.56734353721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1082652.3185721822,-1082652.3185721822,108364.13185721822,108364.13185721822,108264.13185721822,0.0,100.0,0.0,0.0,108364.13185721822,108364.13185721822,1,0.0,100.0
810,119108.92422774794,0.0,-1191089.2422774793,0.0,10.0,0.0,-0.0,0.01,0.234167988,23.4167988,0.0,0.0,100.0,1.0,0.11,-11.0,-69267.73758230894,69267.73758230894,0.0,-22371.576754582147,22371.576754582147,0.0,-27569.60989085685,27569.60989085685,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1191100.2422774793,-1191100.2422774793,119208.92422774794,119208.92422774794,119108.92422774794,0.0,100.0,0.0,0.0,119208.92422774794,119208.92422774794,1,0.0,100.0
811,121509.62007147132,0.0,-1215096.2007147132,0.0,10.0,0.0,-0.0,0.01,0.215097613,21.5097613,0.0,0.0,100.0,1.0,0.11,-11.0,-72387.5029271509,72387.5029271509,0.0,-21644.38180911121,21644.38180911121,0.0,-27577.73533520921,27577.73533520921,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1215107.2007147132,-1215107.2007147132,121609.62007147132,121609.62007147132,121509.62007147132,0.0,100.0,0.0,0.0,121609.62007147132,121609.62007147132,1,0.0,100.0
812,122797.78581766458,0.0,-1227977.8581766458,0.0,10.0,0.0,-0.0,0.01,0.215123167,21.5123167,0.0,0.0,100.0,1.0,0.11,-11.0,-78125.3775539165,78125.3775539165,0.0,-17190.75557280868,17190.75557280868,0.0,-27581.65269093941,27581.65269093941,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1227988.8581766458,-1227988.8581766458,122897.78581766458,122897.78581766458,122797.78581766458,0.0,100.0,0.0,0.0,122897.78581766458,122897.78581766458,1,0.0,100.0
813,103119.40829121167,0.0,-1031194.0829121168,0.0,10.0,0.0,-0.0,0.01,0.2135159089999999,21.35159089999999,0.0,0.0,100.0,1.0,0.11,-11.0,-74901.37920897815,74901.37920897815,0.0,-16463.610398179575,16463.610398179575,0.0,-11854.41868405395,11854.41868405395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1031205.0829121168,-1031205.0829121168,103219.40829121167,103219.40829121167,103119.40829121167,0.0,100.0,0.0,0.0,103219.40829121167,103219.40829121167,1,0.0,100.0
814,82453.26105676095,0.0,-824532.6105676095,0.0,10.0,0.0,-0.0,0.01,0.2270465039999999,22.70465039999999,0.0,0.0,100.0,1.0,0.11,-11.0,-60277.9132609572,60277.9132609572,0.0,-10411.227180854568,10411.227180854568,0.0,-11864.120614949192,11864.120614949192,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-824543.6105676095,-824543.6105676095,82553.26105676095,82553.26105676095,82453.26105676095,0.0,100.0,0.0,0.0,82553.26105676095,82553.26105676095,1,0.0,100.0
815,64897.28673447535,0.0,-648972.8673447535,0.0,10.0,0.0,-0.0,0.01,0.229120361,22.912036099999998,0.0,0.0,100.0,1.0,0.11,-11.0,-44031.22177724235,44031.22177724235,0.0,-8940.102333831874,8940.102333831874,0.0,-12025.962623401125,12025.962623401125,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-648983.8673447535,-648983.8673447535,64997.28673447535,64997.28673447535,64897.28673447535,0.0,100.0,0.0,0.0,64997.28673447535,64997.28673447535,1,0.0,100.0
816,44862.04727963293,0.0,-448620.4727963293,0.0,10.0,0.0,-0.0,0.01,0.232511551,23.251155100000002,0.0,0.0,100.0,1.0,0.08,-8.0,-26000.70199175258,26000.70199175258,0.0,-7090.558001982242,7090.558001982242,0.0,-11870.787285898106,11870.787285898106,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-448628.4727963293,-448628.4727963293,44962.04727963293,44962.04727963293,44862.04727963293,0.0,100.0,0.0,0.0,44962.04727963293,44962.04727963293,1,0.0,100.0
817,45315.593312210825,0.0,-453155.9331221082,0.0,10.0,0.0,-0.0,0.01,0.2392870389999999,23.928703899999988,0.0,0.0,100.0,1.0,0.08,-8.0,-26442.702741728004,26442.702741728004,0.0,-7102.070759711205,7102.070759711205,0.0,-11870.819810771618,11870.819810771618,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-453163.9331221082,-453163.9331221082,45415.593312210825,45415.593312210825,45315.593312210825,0.0,100.0,0.0,0.0,45415.593312210825,45415.593312210825,1,0.0,100.0
818,42076.67467140332,0.0,-420766.7467140332,0.0,10.0,0.0,-0.0,0.01,0.2372376689999999,23.72376689999999,0.0,0.0,100.0,1.0,0.08,-8.0,-23158.72483123948,23158.72483123948,0.0,-7148.131750159621,7148.131750159621,0.0,-11869.818090004224,11869.818090004224,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-420774.7467140332,-420774.7467140332,42176.67467140332,42176.67467140332,42076.67467140332,0.0,100.0,0.0,0.0,42176.67467140332,42176.67467140332,1,0.0,100.0
819,42283.09586022176,0.0,-422830.9586022176,0.0,10.0,0.0,-0.0,0.01,0.236999447,23.6999447,0.0,0.0,100.0,1.0,0.08,-8.0,-23378.24806215226,23378.24806215226,0.0,-7136.692368735517,7136.692368735517,0.0,-11868.155429333978,11868.155429333978,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-422838.9586022176,-422838.9586022176,42383.09586022176,42383.09586022176,42283.09586022176,0.0,100.0,0.0,0.0,42383.09586022176,42383.09586022176,1,0.0,100.0
820,47549.31402888849,0.0,-475493.14028888487,0.0,10.0,0.0,-0.0,0.01,0.233594682,23.3594682,0.0,0.0,100.0,1.0,0.08,-8.0,-28224.26031164818,28224.26031164818,0.0,-7512.499016981525,7512.499016981525,0.0,-11912.554700258785,11912.554700258785,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-475501.14028888487,-475501.14028888487,47649.31402888849,47649.31402888849,47549.31402888849,0.0,100.0,0.0,0.0,47649.31402888849,47649.31402888849,1,0.0,100.0
821,52404.93313953079,0.0,-524049.3313953079,0.0,10.0,0.0,-0.0,0.01,0.225804482,22.5804482,0.0,0.0,100.0,1.0,0.11,-11.0,-32365.72516561448,32365.72516561448,0.0,-8229.573959823643,8229.573959823643,0.0,-11909.63401409267,11909.63401409267,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-524060.3313953079,-524060.3313953079,52504.93313953079,52504.93313953079,52404.93313953079,0.0,100.0,0.0,0.0,52504.93313953079,52504.93313953079,1,0.0,100.0
822,80292.72983055245,0.0,-802927.2983055245,0.0,10.0,0.0,-0.0,0.01,0.216497051,21.6497051,0.0,0.0,100.0,1.0,0.11,-11.0,-55729.029281900126,55729.029281900126,0.0,-12751.020145713208,12751.020145713208,0.0,-11912.68040293911,11912.68040293911,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-802938.2983055245,-802938.2983055245,80392.72983055245,80392.72983055245,80292.72983055245,0.0,100.0,0.0,0.0,80392.72983055245,80392.72983055245,1,0.0,100.0
823,79631.56601872685,0.0,-796315.6601872685,0.0,10.0,0.0,-0.0,0.01,0.215753548,21.5753548,0.0,0.0,100.0,1.0,0.11,-11.0,-58159.30327629644,58159.30327629644,0.0,-11955.902815283342,11955.902815283342,0.0,-10372.27133339707,10372.27133339707,0.0,0.0,0.0,0.0,0.0,0.0,755.91140625,755.91140625,0.0,-796326.6601872685,-796326.6601872685,80487.47742497685,80487.47742497685,80387.47742497685,0.0,100.0,0.0,0.0,80487.47742497685,79731.56601872685,1,0.0,100.0
824,97622.23940514986,0.0,-976222.3940514985,0.0,10.0,0.0,-0.0,0.01,0.219783383,21.9783383,0.0,0.0,100.0,1.0,0.11,-11.0,-70909.06362847246,70909.06362847246,0.0,-19373.72766303584,19373.72766303584,0.0,-10067.37576550506,10067.37576550506,0.0,0.0,69.45827686350435,69.45827686350435,0.0,0.0,2558.469375,2558.469375,0.0,-976233.3940514985,-976233.3940514985,100350.16705701336,100350.16705701336,100250.16705701336,0.0,100.0,0.0,0.0,100350.16705701336,97722.23940514986,1,0.0,100.0
825,84921.88277868378,0.0,-849218.8277868378,0.0,10.0,0.0,-0.0,0.01,0.22788317,22.788317,0.0,0.0,100.0,1.0,0.11,-11.0,-61585.53127938247,61585.53127938247,0.0,-18277.04473412736,18277.04473412736,0.0,-10070.08212411031,10070.08212411031,0.0,0.0,200.86582768635049,200.86582768635049,0.0,0.0,4709.90953125,4709.90953125,0.0,-849229.8277868378,-849229.8277868378,89932.65813762014,89932.65813762014,89832.65813762014,0.0,100.0,0.0,0.0,89932.65813762014,85021.88277868378,1,0.0,100.0
