module_name,balancing,balancing,balancing,battery,battery,battery,battery,battery,grid,grid,grid,grid,grid,grid,grid,grid,load,load,load,load,load,load,load,load,load,renewable2.csv.gz,renewable2.csv.gz,renewable2.csv.gz,renewable2.csv.gz,renewable22.csv.gz,renewable22.csv.gz,renewable22.csv.gz,renewable22.csv.gz,balance,balance,balance,balance,balance,balance,balance,balance,balance,balance,net_load,action,converted_action,converted_action
module_number,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
field,loss_load,overgeneration,reward,charge_amount,current_charge,discharge_amount,reward,soc,co2_per_kwh_current,co2_production,export_price_current,grid_export,grid_import,grid_status_current,import_price_current,reward,load_current,load_met,reward,load_current,load_met,reward,load_current,load_met,reward,curtailment,renewable_current,renewable_used,reward,curtailment,renewable_current,renewable_used,reward,reward,shaped_reward,overall_provided_to_microgrid,overall_absorbed_from_microgrid,flex_provided_to_microgrid,flex_absorbed_from_microgrid,controllable_provided_to_microgrid,controllable_absorbed_from_microgrid,fixed_provided_to_microgrid,fixed_absorbed_from_microgrid,,,battery_0,grid_0
9,65489.753775350415,0.0,-654897.5377535041,0.0,10.0,0.0,-0.0,0.01,0.1239275419999999,12.39275419999999,0.0,0.0,100.0,1.0,0.11,-11.0,-63273.35519359904,63273.35519359904,0.0,-8253.405035175934,8253.405035175934,0.0,-10067.554262028005,10067.554262028005,0.0,0.0,72.27415295256534,72.27415295256534,0.0,0.0,15932.2865625,15932.2865625,0.0,-654908.5377535041,-654908.5377535041,81594.31449080298,81594.31449080298,81494.31449080298,0.0,100.0,0.0,0.0,81594.31449080298,65589.75377535041,1,0.0,100.0
10,49886.112124475796,0.0,-498861.12124475796,0.0,10.0,0.0,-0.0,0.01,0.124957329,12.4957329,0.0,0.0,100.0,1.0,0.11,-11.0,-53922.86519098616,53922.86519098616,0.0,-6922.627218111541,6922.627218111541,0.0,-10075.523698618672,10075.523698618672,0.0,0.0,118.26679574056148,118.26679574056148,0.0,0.0,20816.6371875,20816.6371875,0.0,-498872.12124475796,-498872.12124475796,70921.01610771636,70921.01610771636,70821.01610771636,0.0,100.0,0.0,0.0,70921.01610771636,49986.1121244758,1,0.0,100.0
11,53143.741035451116,0.0,-531437.4103545111,0.0,10.0,0.0,-0.0,0.01,0.12943563,12.943563,0.0,0.0,100.0,1.0,0.11,-11.0,-52947.13993174023,52947.13993174023,0.0,-6795.850864844784,6795.850864844784,0.0,-10226.54096339417,10226.54096339417,0.0,0.0,95.73978702807358,95.73978702807358,0.0,0.0,16630.0509375,16630.0509375,0.0,-531448.4103545111,-531448.4103545111,69969.53175997919,69969.53175997919,69869.53175997919,0.0,100.0,0.0,0.0,69969.53175997919,53243.741035451116,1,0.0,100.0
12,47168.30143058741,0.0,-471683.0143058741,0.0,10.0,0.0,-0.0,0.01,0.1245606569999999,12.45606569999999,0.0,0.0,100.0,1.0,0.11,-11.0,-54026.16833369536,54026.16833369536,0.0,-6921.792134252744,6921.792134252744,0.0,-10084.738344506448,10084.738344506448,0.0,0.0,98.55566311713456,98.55566311713456,0.0,0.0,23665.84171875,23665.84171875,0.0,-471694.0143058741,-471694.0143058741,71032.69881245455,71032.69881245455,70932.69881245455,0.0,100.0,0.0,0.0,71032.69881245455,47268.30143058741,1,0.0,100.0
13,61697.51182717813,0.0,-616975.1182717814,0.0,10.0,0.0,-0.0,0.01,0.113910851,11.3910851,0.0,0.0,100.0,1.0,0.11,-11.0,-50097.96013553417,50097.96013553417,0.0,-6795.248444249449,6795.248444249449,0.0,-10098.209277162176,10098.209277162176,0.0,0.0,76.967279767667,76.967279767667,0.0,0.0,5116.93875,5116.93875,0.0,-616986.1182717814,-616986.1182717814,66991.4178569458,66991.4178569458,66891.4178569458,0.0,100.0,0.0,0.0,66991.4178569458,61797.51182717813,1,0.0,100.0
14,53799.82947478761,0.0,-537998.2947478761,0.0,10.0,0.0,-0.0,0.01,0.116719467,11.6719467,0.0,0.0,100.0,1.0,0.08,-8.0,-49596.31645893699,49596.31645893699,0.0,-6920.70723956903,6920.70723956903,0.0,-10102.083096737791,10102.083096737791,0.0,0.0,101.37153920619556,101.37153920619556,0.0,0.0,12617.90578125,12617.90578125,0.0,-538006.2947478761,-538006.2947478761,66619.1067952438,66619.1067952438,66519.1067952438,0.0,100.0,0.0,0.0,66619.1067952438,53899.829474787606,1,0.0,100.0
15,59690.066108999665,0.0,-596900.6610899967,0.0,10.0,0.0,-0.0,0.01,0.159613893,15.9613893,0.0,0.0,100.0,1.0,0.08,-8.0,-47487.74029776071,47487.74029776071,0.0,-6794.8393345454815,6794.8393345454815,0.0,-10100.211061337706,10100.211061337706,0.0,0.0,57.25614714424008,57.25614714424008,0.0,0.0,4535.468437500001,4535.468437500001,0.0,-596908.6610899967,-596908.6610899967,64382.7906936439,64382.7906936439,64282.7906936439,0.0,100.0,0.0,0.0,64382.7906936439,59790.066108999665,1,0.0,100.0
16,69424.28962442235,0.0,-694242.8962442235,0.0,10.0,0.0,-0.0,0.01,0.1556515769999999,15.56515769999999,0.0,0.0,100.0,1.0,0.08,-8.0,-50264.16778218414,50264.16778218414,0.0,-9652.009659063877,9652.009659063877,0.0,-10077.042934626425,10077.042934626425,0.0,0.0,3.7545014520813167,3.7545014520813167,0.0,0.0,465.17625,465.17625,0.0,-694250.8962442235,-694250.8962442235,69993.22037587443,69993.22037587444,69893.22037587443,0.0,100.0,0.0,0.0,69993.22037587444,69524.28962442237,1,0.0,100.0
17,76504.84890170355,0.0,-765048.4890170355,0.0,10.0,0.0,-0.0,0.01,0.149032037,14.9032037,0.0,0.0,100.0,1.0,0.11,-11.0,-54440.20458484904,54440.20458484904,0.0,-10873.807323461357,10873.807323461357,0.0,-11290.836993393155,11290.836993393155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-765059.4890170355,-765059.4890170355,76604.84890170355,76604.84890170355,76504.84890170355,0.0,100.0,0.0,0.0,76604.84890170355,76604.84890170355,1,0.0,100.0
18,91272.50495036239,0.0,-912725.0495036239,0.0,10.0,0.0,-0.0,0.01,0.14856911,14.856911,0.0,0.0,100.0,1.0,0.11,-11.0,-68481.71103925357,68481.71103925357,0.0,-11001.4296081927,11001.4296081927,0.0,-11889.364302916112,11889.364302916112,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-912736.0495036239,-912736.0495036239,91372.50495036239,91372.50495036239,91272.50495036239,0.0,100.0,0.0,0.0,91372.50495036239,91372.50495036239,1,0.0,100.0
19,93528.07483902026,0.0,-935280.7483902026,0.0,10.0,0.0,-0.0,0.01,0.144624445,14.462444499999998,0.0,0.0,100.0,1.0,0.11,-11.0,-71552.86828441035,71552.86828441035,0.0,-10146.867806325485,10146.867806325485,0.0,-11928.338748284448,11928.338748284448,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-935291.7483902026,-935291.7483902026,93628.07483902026,93628.07483902026,93528.07483902026,0.0,100.0,0.0,0.0,93628.07483902026,93628.07483902026,1,0.0,100.0
